21:16:35.033 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.034 [INFO] RawMouse: DeltaX=-2, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.035 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.036 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.037 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.038 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.041 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.043 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.045 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.046 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.047 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.048 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.049 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.050 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.051 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.052 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.053 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.054 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.055 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.056 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.057 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.058 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.059 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.060 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.061 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.062 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.063 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.064 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.065 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.066 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.067 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.068 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.070 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.070 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.071 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.072 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.073 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:35.074 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
